rank,community_id,community,community_name,main_subfield,size,external_in,influence,unicamp_fraction,top_article_id,top_article_title,publication_year,article_subfields,pagerank_relative,coreness_relative,internal_in_degree,internal_out_degree,minmax_sum
21,25,C25,Visão computacional e sinais,Computer Vision and Pattern Recognition,649,561,0.2806713623684696,0.05084745762711865,W1994864760,VISON: VIdeo Summarization for ONline applications,2011,Computer Vision and Pattern Recognition; Signal Processing; Sociology and Political Science,3.3989199176973566,2.0460277427490543,50,28,1.9127728079298607
22,23,C23,"Visão computacional, mídia e biofísica",Computer Vision and Pattern Recognition,666,425,0.26804776893054527,0.03903903903903904,W1983586459,Exposing Digital Image Forgeries by Illumination Color Classification,2013,Biophysics; Computer Vision and Pattern Recognition; Media Technology,5.453570383274947,1.4247005134055903,109,13,1.7333333333333334
23,24,C24,"Visão computacional, IA e sinais aplicados",Computer Vision and Pattern Recognition,446,472,0.2585705591351683,0.03587443946188341,W2512304460,Visualizing the Hidden Activity of Artificial Neural Networks,2016,Artificial Intelligence; Biophysics; Computer Vision and Pattern Recognition,5.672030843136293,2.0654978498180614,77,16,2.0
24,27,C27,"Visão computacional, computação gráfica e controle",Computer Vision and Pattern Recognition,350,120,0.20221914085967885,0.05142857142857143,W2082511574,V-REP: A versatile and scalable robot simulation framework,2013,Aerospace Engineering; Computer Vision and Pattern Recognition; Mechanical Engineering,25.684354876197848,1.088646967340591,99,2,1.3
25,33,C33,Interação humano-computador e aplicações,Human-Computer Interaction,540,55,0.19610279273695141,0.07407407407407407,W2113857264,TripleBeat,2008,General Health Professions; Human-Computer Interaction; Physiology,10.929063174135655,1.5,40,12,1.5
26,29,C29,"Redes, física não linear e engenharia biomédica",Computer Networks and Communications,336,80,0.18507221307500854,0.06547619047619048,W2777670270,Symmetries and synchronization in multilayer random networks,2018,Biomedical Engineering; Computer Networks and Communications,1.1007214409407602,1.8268506900878292,6,26,1.231695683636758
27,22,C22,IA e teoria computacional,Artificial Intelligence,683,120,0.1755243458310065,0.09663250366032211,W2135287414,A formulae-as-type notion of control,1990,Artificial Intelligence; Computational Theory and Mathematics,15.401133152145267,1.8116710875331565,116,11,2.0
28,28,C28,"Teoria computacional, redes e matemática discreta",Computational Theory and Mathematics,377,152,0.1716461312321895,0.07957559681697612,W1975433230,A Minimax Theorem for Directed Graphs,1978,Computational Theory and Mathematics; Discrete Mathematics and Combinatorics,13.096323444798017,1.0031931878658862,41,0,1.3076923076923077
29,31,C31,"IA, estatística e sinais",Artificial Intelligence,221,382,0.17010872133806512,0.05429864253393665,W2029479258,Robust mixture modeling based on scale mixtures of skew-normal distributions,2009,Artificial Intelligence; Finance; Statistics and Probability,1.7788798129462187,1.9368974583698508,23,14,2.0
30,39,C39,"Visão computacional, ciências planetárias e geologia",Computer Vision and Pattern Recognition,146,94,0.16960868682933652,0.0410958904109589,W2094494490,A multiscale method for the reassembly of two-dimensional fragmented objects,2002,Computer Vision and Pattern Recognition; Geology; Space and Planetary Science,3.828161877493879,1.4441147378832837,67,10,2.0
31,38,C38,"Teoria computacional, análise numérica e geometria",Computational Theory and Mathematics,139,43,0.16668352884170679,0.2014388489208633,W1972865089,The discretizable molecular distance geometry problem,2011,Computational Theory and Mathematics; Computer Graphics and Computer-Aided Design; Computer Vision and Pattern Recognition,4.239602822399737,2.2581227436823106,23,12,2.0
32,37,C37,"IA, engenharia elétrica e redes",Artificial Intelligence,287,129,0.1571522332297729,0.11498257839721254,W2137836566,"Graphs, Tessellations, and Perfect Codes on Flat Tori",2004,Artificial Intelligence; Computational Theory and Mathematics; Electrical and Electronic Engineering,3.5163909219431764,1.1379857256145915,12,4,1.5714285714285714
33,34,C34,"Redes, teoria computacional e gestão de sistemas",Computer Networks and Communications,136,134,0.14678864719235346,0.11029411764705882,W2102260333,Optimal closed-loop control of timed event graphs in dioids,2003,Computational Theory and Mathematics; Hardware and Architecture,0.9839102226066061,1.8043117744610282,13,9,1.940454360308066
34,26,C26,Visão computacional e mídia,Computer Vision and Pattern Recognition,119,123,0.12156760432618367,0.025210084033613446,W2001297828,T-HOG: An effective gradient-based descriptor for single line text regions,2012,Computer Vision and Pattern Recognition; Media Technology,1.499865986598223,1.315577889447236,19,15,1.0
35,35,C35,Teoria computacional e análise numérica aplicada,Computational Theory and Mathematics,193,35,0.07972414133449816,0.11398963730569948,W2018812345,On the Relation between Constant Positive Linear Dependence Condition and Quasinormality Constraint Qualification,2005,Computational Theory and Mathematics; Control and Systems Engineering; Numerical Analysis,3.465506058131454,1.1247086247086246,21,4,1.6666666666666665
36,30,C30,Teoria computacional e mecânica computacional,Computational Theory and Mathematics,139,7,0.0755296199605863,0.10071942446043165,W4206107273,An artificial intelligence method for improving upscaling in complex reservoirs,2022,Computational Theory and Mathematics; Ocean Engineering,0.7593475651708187,0.946866485013624,2,7,1.4
37,36,C36,IA e imagens biomédicas,Artificial Intelligence,53,10,0.05470925974612182,0.05660377358490566,W2171812326,How to measure image quality in tissue-based diagnosis (diagnostic surgical pathology),2008,"Artificial Intelligence; Oncology; Radiology, Nuclear Medicine and Imaging",2.2279784977892225,0.7293577981651376,6,7,1.0
38,32,C32,"IA, geofísica e imagens radiológicas",Artificial Intelligence,85,21,0.030011034178290777,0.08235294117647059,W2291506047,Reference Values Following <scp>ISO</scp> Guidelines for Frequently Requested Rock Reference Materials,2015,Artificial Intelligence; Geophysics; Radiological and Ultrasound Technology,2.4064131372509703,1.4825581395348837,13,15,2.0
39,40,C40,"IA, sustentabilidade e engenharia elétrica",Artificial Intelligence,33,7,0.00987896263571908,0.12121212121212122,W2913832610,Comparative Analysis of Transposition Models Applied to Photovoltaic Systems Using Meteonorm and NASA SSE Databases,2018,"Artificial Intelligence; Renewable Energy, Sustainability and the Environment",1.8890112730774635,1.4142857142857144,2,7,2.0
40,20,C20,Visão computacional e mecânica,Computer Vision and Pattern Recognition,11,2,0.008800444224333287,0.09090909090909091,W1900072260,Use of specklegrams background terms for speckle photography combined with phase-shifting electronic speckle pattern interferometry,2015,"Atomic and Molecular Physics, and Optics; Computational Mechanics; Computer Vision and Pattern Recognition",0.5762977070746161,1.375,0,10,0.0
41,3,C3,Sistemas de informação e aplicações em saúde,Information Systems,15,1,0.00015881178824744667,0.13333333333333333,W2291266661,Surveying Biochemistry Applications for Mobile Devices To Compare Availability and Topics Covered,2015,General Health Professions; Information Systems,1.1858560268503608,1.7142857142857142,3,3,2.0
