openalex_id,title,publication_year,cited_by_count,in_degree,out_degree,pagerank,authority,hub,citation_rate_by_age,wcc_rank,community_id,is_unicamp,is_top_tier,is_important_institution,is_high_impact_500,is_high_impact_100k
W4405232231,Rethinking Resource Management in Edge Learning: A Joint Pre-Training and Fine-Tuning Design Paradigm,2024,21,0,4,6.162361851594137e-06,0.0,2.4471511164026532e-05,10.5,1,3,False,False,False,False,False
W4408962787,"New Azo‐Azomethine Compounds: Comprehensive Evaluation of In Silico Biological Activities, ADMEt Profiling, and In Vitro Antioxidant Properties",2025,12,0,2,6.162361851594137e-06,0.0,1.3335676448095265e-07,12.0,1,7,False,False,False,False,False
W2890847761,L-fuzzy relational mathematical morphology based on adjoint triples,2018,29,1,14,6.744431366746473e-06,5.336667357410249e-09,1.5737004227362508e-07,3.625,1,10,False,False,False,False,False
W2023000037,"Considerations on computing real logarithms of matrices, hamiltonian logarithms, and skew-symmetric logarithms",1996,18,2,3,1.1502699484522702e-05,7.356350229690927e-12,9.320077814477101e-11,0.6,1,6,False,False,False,False,False
W2846676623,Deploying Fog Computing in Industrial Internet of Things and Industry 4.0,2018,556,23,0,2.2993063161993073e-05,3.315141152272957e-06,0.0,69.5,1,3,False,False,False,True,False
W2800120164,"Application and effects of singularity analysis in evaluating the denudation degree of Carlin-type gold deposits in southwest Guizhou, China",2018,14,0,16,6.162361851594137e-06,0.0,8.534535358600817e-07,1.75,1,11,False,False,False,False,False
W2982769425,Finding the Exact Distribution of (Peak) Age of Information for Queues of PH/PH/1/1 and M/PH/1/2 Type,2020,50,0,2,6.162361851594137e-06,0.0,2.212979033791382e-12,8.333333333333334,1,14,False,False,False,False,False
W2153391073,RRGS-round-robin greedy scheduling for electronic/optical terabit switches,2003,33,1,3,1.1391150790364803e-05,3.036566727549938e-15,4.992538367281323e-14,1.434782608695652,1,14,False,False,False,False,False
W2810776797,Cross-Entropy Training of DNN Ensemble Acoustic Models for Low-Resource ASR,2018,12,0,2,6.162361851594137e-06,0.0,1.8533852636023363e-06,1.5,1,0,False,False,False,False,False
W2765948825,Discovery of Potent Neuraminidase Inhibitors Using a Combination of Pharmacophore-Based Virtual Screening and Molecular Simulation Approach,2017,17,2,2,8.781674669779648e-06,8.129880110499776e-09,1.440694714989442e-08,1.8888888888888888,1,7,False,False,True,False,False
W2135219381,Joint Carrier Frequency Offset and Direction of Arrival Estimation via Hierarchical ESPRIT for Interleaved OFDMA/SDMA Uplink Systems,2010,12,0,1,6.162361851594137e-06,0.0,7.479401662441713e-08,0.75,1,15,False,False,False,False,False
W1988438094,Fractal pattern integration for mineral potential estimation,1996,35,13,13,7.408256948740762e-05,1.055983621142189e-06,3.784737931816174e-07,1.1666666666666667,1,11,False,False,False,False,False
W1994849646,Online Action Recognition via Nonparametric Incremental Learning,2014,18,1,13,6.291994019772687e-06,2.005824934781218e-06,1.425592268498854e-05,1.5,1,0,False,False,False,False,False
W2988129415,Profile-Based Resource Allocation for Virtualized Network Functions,2019,44,5,3,1.1016635776013556e-05,3.2689166968882385e-08,1.0258904391035345e-09,6.285714285714286,1,2,False,False,False,False,False
W2005097301,Three approaches to the quantitative definition of information<sup>*</sup>,1968,2038,10,0,0.000837817117919387,7.826268651530457e-07,0.0,35.13793103448276,1,16,False,False,False,True,False
W2102667697,A comparison of algorithms for maximum entropy parameter estimation,2002,670,31,2,0.00012696963596789352,7.350247436468714e-06,2.3719297652008482e-08,27.916666666666668,1,4,False,False,False,True,False
W2609658199,Optical Flow Co-occurrence Matrices: A novel spatiotemporal feature descriptor,2016,21,1,17,6.513723876528446e-06,9.669900494681933e-06,3.145073210326143e-05,2.1,1,0,False,False,True,False,False
W2048224849,Workflow Scheduling in Cloud Computing: A Survey,2014,54,7,9,1.0149264640267164e-05,7.690014328816595e-08,1.3375356770237509e-08,4.5,1,3,False,False,False,False,False
W3013468691,Identification of chymotrypsin-like protease inhibitors of SARS-CoV-2 <i>via</i> integrated computational approach,2020,345,16,1,2.2376911395861535e-05,1.8945106445602236e-07,2.9142496864635245e-09,57.5,1,7,False,False,False,False,False
W2073081764,Enumerators for protograph ensembles of LDPC codes,2005,47,0,1,6.162361851594137e-06,0.0,6.097238701627648e-08,2.238095238095238,1,22,False,False,False,False,False
W2106171663,Designing and dynamically load balancing hybrid LU for multi/many-core,2011,31,1,2,6.296579636353123e-06,3.1258772042172834e-07,2.8390526074325828e-08,2.066666666666667,1,16,False,False,False,False,False
W2082658029,Tensor-based techniques for the blind separation of DS–CDMA signals,2006,117,1,5,7.4720182606868924e-06,6.1184558138537786e-12,8.723363617133789e-09,5.85,1,15,False,False,False,False,False
W2164271287,A framework for uplink power control in cellular radio systems,1995,2489,20,3,7.354384839072521e-05,6.532667134900758e-08,1.084885357801318e-10,80.29032258064517,1,22,False,False,False,True,False
W2015780581,<title>Optimal tree approximation with wavelets</title>,1999,65,3,8,8.031936636289163e-06,1.3356988908772618e-06,4.014571634945738e-07,2.4074074074074074,1,9,False,False,False,False,False
W2153406165,"Type-2 Fuzzistics for Symmetric Interval Type-2 Fuzzy Sets: Part 1, Forward Problems",2006,224,39,8,3.5055357667508514e-05,1.1191399049125886e-06,6.673652268143504e-08,11.2,1,5,False,False,False,False,False
W2121442738,A New Analytical Accurate Analysis to generate Classical Communication Signals,2006,12,0,1,6.162361851594137e-06,0.0,3.0407096535420554e-90,0.6,14,,True,False,False,False,False
W2767898996,Using Factor Analysis to Study the Critical Success Factors of Agile Software Development,2017,15,1,2,6.3120368697761665e-06,2.8692832998019533e-13,3.856003368785017e-12,1.6666666666666667,1,12,False,False,False,False,False
W2068412200,TWNFI — a transductive neuro-fuzzy inference system with weighted data normalization for personalized modeling,2006,72,4,10,9.097256695342043e-06,1.9934613863628595e-07,1.1709669563600827e-06,3.6,1,5,False,False,False,False,False
W2950958145,An Improved Approximation Algorithm for the Column Subset Selection Problem,2009,195,8,6,1.6464815003605467e-05,3.386139597762029e-06,2.3125316889082864e-08,11.470588235294118,1,6,False,False,True,False,False
W2037011398,Sharing using social networks in a composable Web of Things,2010,206,4,1,8.700003423321442e-06,1.2871406138673826e-07,3.065827446227093e-11,12.875,1,14,False,False,False,False,False
W3011760994,Multi-Source Feature Fusion and Entropy Feature Lightweight Neural Network for Constrained Multi-State Heterogeneous Iris Recognition,2020,13,0,6,6.162361851594137e-06,0.0,2.813294926469337e-07,2.1666666666666665,1,17,False,False,False,False,False
W2986631711,Exploring Deep Learning Models for Overhead View Multiple Object Detection,2019,70,0,10,6.162361851594137e-06,0.0,0.00034718517533816376,10.0,1,0,False,False,False,False,False
W2031770535,Routing and link-layer protocols for multi-channel multi-interface ad hoc wireless networks,2006,477,1,6,6.670086869695689e-06,2.0379977689902534e-10,5.87031980491412e-10,23.85,1,14,False,False,False,False,False
W2068127755,Comparing and Combining Software Defect Detection Techniques:a Replicated Empirical Study,1997,93,2,2,9.273931602008699e-06,1.2433586110688082e-10,4.581580034420586e-11,3.206896551724138,1,12,False,False,False,False,False
W2075120071,Enhancing content-centric networking for vehicular environments,2013,124,28,5,5.677891645462745e-05,1.695554176284752e-07,4.9149409614946694e-08,9.538461538461538,1,18,False,False,False,False,False
W2157621526,Linear phase paraunitary filter bank with filters of different lengths and its application in image compression,1999,56,7,4,1.7473478608612432e-05,1.173286764464689e-07,2.38948563969284e-07,2.074074074074074,1,9,False,False,True,False,False
W2065021034,Logic-based fuzzy networks: A study in system modeling with triangular norms and uninorms,2009,47,8,21,9.949139162746164e-06,3.7946600416929426e-07,2.008545828175215e-07,2.764705882352941,1,5,False,False,False,False,False
W2101294471,Identity verification using speech and face information,2004,159,3,12,1.4698129287691698e-05,5.820749442084544e-07,2.2146416753145207e-06,7.2272727272727275,1,17,False,False,False,False,False
W2042704421,"Book review: Genetic Algorithms + Data Structures = Evolution Programs by Zbigniew Michalewicz (Springer-Verlag, 1992)",1993,1092,10,0,2.915064574543045e-05,8.022060441318053e-08,0.0,33.09090909090909,1,5,False,False,False,True,False
W2156480030,"Efficient numerical methods for the large‐scale, parallel solution of elastoplastic contact problems",2015,23,0,3,6.162361851594137e-06,0.0,5.750301087168274e-12,2.090909090909091,1,6,False,False,False,False,False
W3158732563,"Functionalities, Challenges and Enablers for a Generalized FaaS based Architecture as the Realizer of Cloud/Edge Continuum Interplay",2021,11,1,3,6.356385023311582e-06,1.5893211341021795e-07,7.799306424535338e-09,2.2,1,3,False,False,False,False,False
W2142957041,From Euclid's GCD to Montgomery Multiplication to the Great Divide,2001,74,3,4,1.8435063198027695e-05,1.3252224501960754e-08,3.738836602128754e-09,2.96,1,14,False,False,False,False,False
W2593093587,SearchGazer,2017,112,1,1,1.140098748796516e-05,1.4779682918412198e-87,3.0407096535420554e-90,12.444444444444445,1,19,False,False,False,False,False
W2416610140,Load balancing mechanisms and techniques in the cloud environments: Systematic literature review and future trends,2016,231,9,4,1.0483251823348762e-05,2.646309580110239e-07,2.127197586955623e-08,23.1,1,3,False,False,False,False,False
W3171799684,Data analysis methods for prospectivity modelling as applied to mineral exploration targeting: State-of-the-art and outlook,2021,131,29,91,1.1102935632312639e-05,2.5588590056276937e-05,3.4155113557346448e-06,26.2,1,11,False,False,False,False,False
W2098133383,Efficient datapath merging for partially reconfigurable architectures,2005,108,22,16,4.3288972266827286e-05,1.6428810507458764e-07,1.6603442627846806e-07,5.142857142857143,1,16,True,False,False,False,False
W2762180135,Mining frequent subgraphs from tremendous amount of small graphs using MapReduce,2017,13,0,3,6.162361851594137e-06,0.0,2.603733870615207e-07,1.4444444444444444,1,13,False,False,True,False,False
W1574170747,Robust signal-to-noise ratio estimation based on waveform amplitude distribution analysis,2008,158,3,2,9.257913363995194e-06,7.37310968514483e-08,2.221205543627458e-07,8.777777777777779,1,15,False,False,True,False,False
W2010658059,SLA-based virtual machine management for heterogeneous workloads in a cloud datacenter,2014,222,8,5,9.758957844421363e-06,1.1189151857051174e-07,4.285910686155694e-08,18.5,1,3,False,False,True,False,False
W2037565762,Trace-based compilation for the Java HotSpot virtual machine,2011,31,1,1,6.909372197024684e-06,9.350500982824091e-10,3.0444064669456666e-10,2.066666666666667,1,16,False,False,False,False,False
W3045085645,Data Set Augmentation Allows Deep Learning-Based Virtual Screening to Better Generalize to Unseen Target Classes and Highlight Important Binding Interactions,2020,57,4,6,7.359252686088957e-06,1.5576676279248196e-05,2.4634271228651228e-05,9.5,1,7,False,False,True,False,False
W1982141094,Cost models for overlapping and multiversion structures,2002,40,3,10,7.987544889333876e-06,1.8988913909293016e-08,1.043809307530609e-07,1.6666666666666667,1,1,False,False,False,False,False
W4400981505,A Survey of Controller Placement Problem in SDN-IoT Network,2024,19,0,5,6.162361851594137e-06,0.0,5.764107232823486e-07,9.5,1,2,False,False,False,False,False
W3118383610,Transformation-Aware Embeddings for Image Provenance,2021,19,5,39,1.0065385821220464e-05,1.261029287461483e-05,0.0002172225603463605,3.8,1,21,True,False,False,False,False
W69723335,The concept of quasi-truth,1996,22,1,0,9.361138872960717e-06,7.068321503626375e-14,0.0,0.7333333333333333,1,20,False,False,False,False,False
W2087980543,On constructing a fuzzy inference framework using crisp decision trees,2006,51,3,6,7.665158476948727e-06,3.433263636569669e-07,1.687983508173009e-07,2.55,1,5,False,False,False,False,False
W2517647305,Computationally efficient demosaicing filter estimation for forensic camera model identification,2016,21,3,7,7.370867019141188e-06,1.3166942592373198e-06,1.0004565875697698e-06,2.1,1,21,False,False,False,False,False
W2057277679,Generalization of the Bauer-Fike theorem,1986,39,3,2,1.0352810231602495e-05,8.764426345410565e-09,2.0913202123765557e-08,0.975,1,6,False,False,False,False,False
W2082990239,"Two-stage, least squares design of biorthogonal filter banks",2002,11,0,2,6.162361851594137e-06,0.0,4.249596622123794e-09,0.4583333333333333,1,9,False,False,False,False,False
W2757349810,Performances of Shannon’s Entropy Statistic in Assessment of Distribution of Data,2017,17,0,2,6.162361851594137e-06,0.0,4.915678730663185e-10,1.8888888888888888,1,3,False,False,False,False,False
W2160183388,Efficient task scheduling algorithms for heterogeneous multi-cloud environment,2015,208,10,12,1.1890128740278888e-05,1.4245341903436296e-07,1.8026460463703715e-07,18.90909090909091,1,3,False,False,False,False,False
W4205216637,User Plane Hardware Acceleration in Access Networks: Experiences in Offloading Network Functions in Real 5G Deployments,2022,15,1,1,6.369753822247017e-06,5.6505675794048024e-09,2.531209042009269e-10,3.75,1,2,False,False,True,False,False
W2903222894,Cryptanalysis of a Lightweight Certificateless Signature Scheme for IIOT Environments,2018,16,0,2,6.162361851594137e-06,0.0,8.127224490035967e-12,2.0,1,14,False,False,False,False,False
W2050339703,Adaptive workflow scheduling in grid computing based on dynamic resource availability,2015,61,1,15,6.638600545809685e-06,3.0610573060900803e-08,1.465664972924958e-07,5.545454545454546,1,3,False,False,False,False,False
W3005600385,Learning With Interpretable Structure From Gated RNN,2020,80,0,12,6.162361851594137e-06,0.0,1.9080809491968313e-05,13.333333333333334,1,1,False,False,True,False,False
W1545495430,On initialization strategies for blind adaptive DFEs,2003,15,1,4,8.162199404625521e-06,3.811464507307351e-11,1.71578689473298e-11,0.6521739130434783,1,15,False,False,False,False,False
W1557906385,The Boost Interval Arithmetic Library,2003,31,1,3,7.047618211965056e-06,5.2684433292266215e-09,4.6165807355619525e-09,1.3478260869565217,1,6,False,False,False,False,False
W1988445395,Textural Features Corresponding to Visual Perception,1978,2134,78,2,0.0004376011884161567,0.0001498523671179504,1.242923795566357e-06,44.458333333333336,1,1,False,False,False,True,False
W3018953709,P-ODN: Prototype-based Open Deep Network for Open Set Recognition,2020,67,5,13,7.802696447737558e-06,2.7392230407708288e-05,0.0001859996866806894,11.166666666666666,1,0,False,False,True,False,False
W2500607701,Neural approaches for human signature verification,2002,14,6,7,1.1275486005929367e-05,2.1280059498066516e-06,4.1903546550023636e-07,0.5833333333333334,1,13,True,False,False,False,False
W2995883650,Multi-Scale Deep Residual Learning-Based Single Image Haze Removal via Image Decomposition,2019,145,0,11,6.162361851594137e-06,0.0,0.0002886742709007629,20.714285714285715,1,0,False,False,False,False,False
W2564478194,Internet Traffic Matrices: A Primer,2013,99,3,15,8.188057986840256e-06,1.6649641199428272e-06,9.085721343624878e-08,7.615384615384615,1,4,False,False,False,False,False
W2143211330,LSTRS: MATLAB Software for Large-Scale Trust-Region Subproblems and Regularization,2003,14,2,7,9.591026372738024e-06,1.5300037344371578e-07,9.466419645778339e-08,0.6086956521739131,1,6,True,False,False,False,False
W2124563017,Intrusion Detection in the Cloud,2009,218,1,0,7.024242748419673e-06,1.1327958463668685e-08,0.0,12.823529411764707,1,2,False,False,False,False,False
W4405347113,"Quantum blockchain: Trends, technologies, and future directions",2024,19,0,3,6.162361851594137e-06,0.0,1.0020563279668543e-10,9.5,1,8,False,False,True,False,False
W2617659182,Analyzing emotion words to predict severity of software bugs,2017,30,3,10,7.525266308651019e-06,2.471111961491591e-06,3.3336894069757043e-07,3.3333333333333335,1,4,False,False,False,False,False
W2131947476,Computing the gravitational and magnetic anomalies due to a polygon; algorithms and Fortran subroutines,1987,337,1,0,6.9648155771798106e-06,9.134384767570054e-09,0.0,8.64102564102564,1,11,False,False,False,False,False
W2134480537,A pipelined architecture for partitioned DWT based lossy image compression using FPGA's,2001,48,7,4,1.2880277908123648e-05,2.1753793989157456e-07,3.5895447588758603e-07,1.92,1,9,False,False,False,False,False
W4250848060,Evaluating Bug Finders -- Test and Measurement of Static Code Analyzers,2015,30,2,4,6.861466480530637e-06,2.1614415902521765e-09,2.027743241848107e-11,2.727272727272727,1,23,False,False,False,False,False
W2589952946,Video-Based Pedestrian Re-Identification by Adaptive Spatio-Temporal Appearance Model,2017,73,4,8,8.13608254423866e-06,3.898719749094022e-05,0.00011384527528491981,8.11111111111111,1,0,False,False,False,False,False
W3135542633,Out-of-Distribution Detection of Human Activity Recognition with Smartwatch Inertial Sensors,2021,30,1,14,6.598913987958389e-06,1.1195039984229207e-06,0.000112982351018605,6.0,1,0,False,False,False,False,False
W2133552372,Methods for producing optical coherent state superpositions,2008,106,2,5,6.836197055626249e-06,1.1524684457939191e-09,1.2349498406753083e-10,5.888888888888889,1,8,False,False,False,False,False
W3105003914,"GenASM: a high-performance, low-power approximate string matching acceleration framework for genome sequence analysis",2021,112,2,10,7.585446407843124e-06,6.465554639922124e-06,3.365543020338291e-07,22.4,1,13,False,False,True,False,False
W4230072782,Guided search: An alternative to the feature integration model for visual search.,1989,1393,2,0,9.899908126526197e-06,5.1139098630903735e-06,0.0,37.648648648648646,1,0,False,False,True,True,False
W2052354855,"Shakespeare, Fletcher, and the Two Noble Kinsmen",1994,99,6,0,1.1428142118583088e-05,9.473545622774482e-07,0.0,3.09375,1,4,False,False,False,False,False
W2610577227,The Fractal Geometry of Nature,1984,534,9,0,1.171089052790193e-05,5.803154542328217e-07,0.0,12.714285714285714,1,11,False,False,False,True,False
W2023893586,Dynamic positioning system of semi-submersible platform using fuzzy control,2005,30,1,1,7.5117500501297685e-06,1.6218478130742843e-07,1.1104033497867587e-08,1.4285714285714286,1,2,True,False,False,False,False
W2032063630,Moment invariants for pattern recognition,1983,81,3,1,4.0210344956399406e-05,3.070578327107406e-08,1.2135438985294664e-07,1.8837209302325582,1,1,False,False,False,False,False
W2135036872,Evidence relating to object-oriented software design: A survey,2007,121,4,3,1.942518270057455e-05,2.483129483263097e-09,1.0092234420045371e-07,6.368421052631579,1,12,False,False,False,False,False
W2145319246,Variational Bayesian Image Restoration Based on a Product of $t$-Distributions Image Prior,2008,97,1,4,7.2425288137143375e-06,2.6375607434246314e-08,2.0534667645485797e-07,5.388888888888889,1,9,False,False,True,False,False
W3016747886,APPROACH TO THE SYNTHESIS OF NEURAL NETWORK STRUCTURE DURING CLASSIFICATION,2020,37,0,4,6.162361851594137e-06,0.0,8.113374964783385e-07,6.166666666666667,1,0,False,False,False,False,False
W1816296130,An improved unconstrained global optimization algorithm,1996,31,1,0,7.409718876384736e-06,3.1084934479159086e-10,0.0,1.0333333333333334,1,6,False,False,False,False,False
W1967917458,Finding a high coverage set of 5-biclusters with swarm intelligence,2010,11,2,5,7.748289109732944e-06,4.175245305731809e-07,3.7949352227463456e-08,0.6875,1,4,True,False,False,False,False
W2515328442,"Identification and mapping of geochemical patterns and their significance for regional metallogeny in the southern Sanjiang, China",2016,22,2,39,9.192650245578308e-06,4.702751477615576e-08,1.5692633021618883e-06,2.2,1,11,True,False,False,False,False
W1912123407,Estimating Continuous Distributions in Bayesian Classifiers,2013,2922,48,0,8.060028414633075e-05,3.460946586257609e-05,0.0,224.76923076923077,1,4,False,False,True,True,False
W2103585214,On the decoding of Reed-Solomon and BCH codes over integer residue rings,1997,50,10,12,1.9330766559773956e-05,1.442195152325107e-08,1.2699516330121916e-09,1.7241379310344827,1,22,True,False,False,False,False
W2801858249,Multi-CDN: Towards Privacy in Content Delivery Networks,2018,31,0,10,6.162361851594137e-06,0.0,2.972728249214152e-08,3.875,1,18,False,False,False,False,False
W1982779742,Improving neural network training solutions using regularisation,2001,82,2,6,7.1386867021375406e-06,8.561336252632551e-07,1.6770190158566788e-06,3.28,1,5,False,False,False,False,False
W2050726069,Quantitative evaluation of convolution-based methods for medical image interpolation,2001,289,4,10,9.05736244273052e-06,4.5442670326428035e-07,6.460134545064393e-08,11.56,1,9,False,False,False,False,False
W4284676027,Jigsaw,2022,134,3,0,1.2582959259410602e-05,5.2373818916029086e-08,0.0,33.5,1,23,False,False,True,False,False
W2034035131,Connected image processing with multivariate attributes: An unsupervised Markovian classification approach,2014,16,2,17,6.8155267982935564e-06,5.731808320105073e-07,7.07290105063694e-07,1.3333333333333333,1,10,False,False,False,False,False
W2566468258,A runtime reconfiguration design targeting avionics systems,2016,13,0,5,6.162361851594137e-06,0.0,7.249616750579014e-75,1.3,1,16,True,False,False,False,False
W2084154769,Geochemical barriers: theory and practical applications,1986,74,1,0,8.195244102258804e-06,1.7771274518695742e-11,0.0,1.85,1,11,False,False,False,False,False
W2116385707,General method for perfect reconstruction subband processing of finite length signals using linear extensions,1999,12,1,0,6.744431366746473e-06,1.7995745229812343e-08,0.0,0.4444444444444444,1,9,False,False,False,False,False
W1971735267,Topology information condensation in hierarchical networks,1999,16,1,3,8.08887018423585e-06,6.336984602510644e-10,8.755201547530063e-08,0.5925925925925926,1,2,False,False,False,False,False
W2066211959,Autonomous robot calibration using vision technology,2006,123,1,5,6.912696228544559e-06,3.600355336053768e-09,1.0167146502365347e-06,6.15,1,1,False,False,False,False,False
W2016974309,A biclustering approach for classification with mislabeled data,2015,11,0,8,6.162361851594137e-06,0.0,6.732890733494002e-06,1.0,1,4,False,False,False,False,False
W2510034651,A new multi-modal approach to bib number/text detection and recognition in Marathon images,2016,38,0,9,6.162361851594137e-06,0.0,3.7820929196720635e-06,3.8,1,32,False,False,True,False,False
W2322798958,Implementing directed acyclic graphs with the heterogeneous system architecture,2016,22,0,2,6.162361851594137e-06,0.0,6.702708185734048e-08,2.2,1,16,False,False,False,False,False
W1960289438,Deformable part models are convolutional neural networks,2015,430,27,20,1.8347400981902114e-05,0.0005093698128459593,0.00021340804217690102,39.09090909090909,1,0,False,False,True,False,False
W2000913668,A Chart of Backward Errors for Singly and Doubly Structured Eigenvalue Problems,2003,47,6,7,1.5008835144426822e-05,6.3628887159591584e-09,6.772118607738416e-08,2.0434782608695654,1,6,False,False,False,False,False
W777782797,Hybrid Quaternionic Hopfield Neural Network,2015,28,11,10,1.858429786175029e-05,1.8703693813808926e-05,1.7443212899439833e-07,2.5454545454545454,1,10,False,False,False,False,False
W2133068391,A recursive approach to low complexity codes,1981,3125,16,1,4.015483378044496e-05,1.58421482635822e-05,6.097238701627648e-08,69.44444444444444,1,4,False,True,False,True,False
W2020959881,Fast jamming detection in sensor networks,2012,17,0,9,6.162361851594137e-06,0.0,4.408123033708064e-08,1.2142857142857142,1,14,False,False,False,False,False
W2760669341,A Cooperative-Based Model for Smart-Sensing Tasks in Fog Computing,2017,45,5,5,1.11465385560623e-05,3.8905036714200976e-06,4.361336250882473e-07,5.0,1,3,False,False,True,False,False
W1966882565,Constructive ways for generating (generalized) real orthogonal matrices as products of (generalized) symmetries,2001,33,0,2,6.162361851594137e-06,0.0,9.878620231452228e-12,1.32,1,6,False,False,False,False,False
